Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 100608 | Rollout time: 0.0588 +- 0.0010 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 100608 | Rollout time: 0.0868 +- 0.0015 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 100608 | Rollout time: 0.1175 +- 0.0015 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 100608 | Rollout time: 0.1467 +- 0.0015 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 100608 | Rollout time: 0.1749 +- 0.0023 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 100608 | Rollout time: 0.2074 +- 0.0052 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 100608 | Rollout time: 0.2360 +- 0.0035 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 100608 | Rollout time: 0.2710 +- 0.0093 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 100608 | Rollout time: 0.2859 +- 0.0049 s | Peak VRAM: 17.69 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 118528 | Rollout time: 0.0394 +- 0.0008 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 118528 | Rollout time: 0.0800 +- 0.0050 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 118528 | Rollout time: 0.1140 +- 0.0021 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 118528 | Rollout time: 0.1565 +- 0.0084 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 118528 | Rollout time: 0.1882 +- 0.0026 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 118528 | Rollout time: 0.2277 +- 0.0013 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 118528 | Rollout time: 0.2673 +- 0.0071 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 118528 | Rollout time: 0.3064 +- 0.0037 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 118528 | Rollout time: 0.3389 +- 0.0093 s | Peak VRAM: 11.23 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 118528 | Rollout time: 0.3734 +- 0.0030 s | Peak VRAM: 11.23 +- 0.00 MB
