Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 100608 | Update time: 0.0022 +- 0.0000 s | Peak VRAM: 324.82 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 100608 | Update time: 0.0028 +- 0.0001 s | Peak VRAM: 425.31 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 100608 | Update time: 0.0032 +- 0.0000 s | Peak VRAM: 524.57 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 100608 | Update time: 0.0038 +- 0.0000 s | Peak VRAM: 621.25 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 100608 | Update time: 0.0043 +- 0.0000 s | Peak VRAM: 720.44 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 100608 | Update time: 0.0047 +- 0.0000 s | Peak VRAM: 820.19 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 100608 | Update time: 0.0054 +- 0.0000 s | Peak VRAM: 918.15 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 100608 | Update time: 0.0059 +- 0.0000 s | Peak VRAM: 1017.29 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 118528 | Update time: 0.0038 +- 0.0003 s | Peak VRAM: 109.52 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 118528 | Update time: 0.0041 +- 0.0002 s | Peak VRAM: 201.73 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 118528 | Update time: 0.0052 +- 0.0000 s | Peak VRAM: 291.05 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 118528 | Update time: 0.0061 +- 0.0001 s | Peak VRAM: 389.09 +- 0.22 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 118528 | Update time: 0.0069 +- 0.0000 s | Peak VRAM: 477.30 +- 0.19 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 118528 | Update time: 0.0092 +- 0.0002 s | Peak VRAM: 565.83 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 118528 | Update time: 0.0101 +- 0.0000 s | Peak VRAM: 653.56 +- 0.19 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 118528 | Update time: 0.0108 +- 0.0000 s | Peak VRAM: 743.18 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 118528 | Update time: 0.0115 +- 0.0000 s | Peak VRAM: 831.52 +- 0.00 MB
Model: mamba | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 118528 | Update time: 0.0125 +- 0.0000 s | Peak VRAM: 924.33 +- 0.00 MB
